id,location_region_name,location_city_name,location_district_name,last_refresh_time,price_usd,land_area,Land_for_garden,Land_for_construction,Industrial_land,Agricultural_land,Price_per_sotix
54475610,Ташкентская область,Ташкент,Чиланзарский район,2024-07-20,450000.0,5,0,0,0,0,90000.0
55531525,Ташкентская область,Янгиюль,0,2024-07-30,72000.0,24,0,0,0,0,3000.0
53588309,Ташкентская область,Янгибазар,0,2025-01-24,60000.0,4,1,0,0,0,60000.0
54319791,Ташкентская область,Чирчик,0,2024-09-09,55000.0,5,0,1,0,0,55000.0
50141770,Ташкентская область,Газалкент,0,2024-08-01,10000.0,10,0,1,0,0,10000.0
56965421,Ташкентская область,Ташкент,Мирабадский район,2025-03-28,35000.0,1,0,1,0,0,35000.0
55557768,Ташкентская область,Чиназ,0,2024-09-30,2500.0,8,0,1,0,0,2500.0
53910410,Ташкентская область,Ташкент,Мирабадский район,2024-05-02,70000.0,8,0,1,0,0,70000.0
48621807,Ташкентская область,Ташкент,Яшнабадский район,2024-07-05,30000.0,10,0,1,0,0,30000.0
47888711,Ташкентская область,Кибрай,0,2024-07-28,8000.0,7,0,1,0,0,8000.0
56577110,Ташкентская область,Ташкент,Бектемирский район,2024-10-09,,110,0,1,0,0,
56701253,Ташкентская область,Ташкент,Мирзо-Улугбекский район,2024-11-08,70000.0,4,0,1,0,0,70000.0
50062180,Ташкентская область,Ташкент,Сергелийский район,2025-03-29,16000.0,12,0,1,0,0,16000.0
56456807,Ташкентская область,Ташкент,Сергелийский район,2024-10-08,63000.0,530,0,1,0,0,63000.0
57112786,Ташкентская область,Ташкент,Мирзо-Улугбекский район,2024-11-16,40000.0,1,0,1,0,0,40000.0
54358239,Ташкентская область,Эшангузар,0,2025-03-20,23000.0,2,0,1,0,0,23000.0
55525020,Ташкентская область,Уртааул,0,2024-07-29,10000.0,8,1,0,0,0,10000.0
48210247,Ташкентская область,Ташкент,Яшнабадский район,2024-07-11,135000.0,5,0,0,0,0,27000.0
56282342,Ташкентская область,Ташкент,Мирабадский район,2024-10-03,42500.0,4,0,1,0,0,42500.0
50516020,Ташкентская область,Ташкент,Учтепинский район,2025-03-26,300000.0,6,0,1,0,0,50000.0
54830910,Ташкентская область,Ташкент,Бектемирский район,2024-12-10,75000.0,5,0,1,0,0,15000.0
55284541,Ташкентская область,Ташкент,Мирзо-Улугбекский район,2024-09-11,480000.0,6,0,1,0,0,80000.0
56014535,Ташкентская область,Назарбек,0,2024-08-31,200000.0,10,0,1,0,0,20000.0
51737930,Ташкентская область,Мирабад,0,2024-06-11,,5,1,0,0,0,
59100094,Ташкентская область,Ташкент,Сергелийский район,2025-05-04,25500.0,98,0,1,0,0,25500.0
54308424,Ташкентская область,Ташкент,Бектемирский район,2024-09-27,5000.0,10,1,0,0,0,5000.0
56081051,Ташкентская область,Ташкент,Мирзо-Улугбекский район,2024-11-13,88000.0,4,0,1,0,0,22000.0
54092071,Ташкентская область,Ташкент,Яккасарайский район,2025-01-23,25000.0,6,1,0,0,0,25000.0
48931388,Ташкентская область,Ташкент,Юнусабадский район,2024-08-17,197000.0,12,0,1,0,0,16417.0
54102986,Ташкентская область,Ташкент,Мирзо-Улугбекский район,2024-11-24,67500.0,2,0,1,0,0,67500.0
54384099,Ташкентская область,Янгибазар,0,2024-05-16,1500.0,10,0,1,0,0,1500.0
48305089,Ташкентская область,Ташкент,Алмазарский район,2025-04-13,410000.0,5,0,1,0,0,82000.0
53500697,Ташкентская область,Янгиюль,0,2024-11-20,32000.0,7,0,0,0,0,32000.0
56246941,Ташкентская область,Янгибазар,0,2024-09-16,15000.0,15,0,0,0,0,15000.0
56678418,Ташкентская область,Ташкент,Яккасарайский район,2024-11-30,550000.0,5,0,1,0,0,110000.0
53491037,Ташкентская область,Ташкент,Яккасарайский район,2024-06-18,70000.0,7,0,1,0,0,70000.0
53490176,Ташкентская область,Ташкент,Сергелийский район,2024-07-30,130000.0,5,0,1,0,0,26000.0
